Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2733"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","80.16"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","151"
"FBS","Bilans Alimentaires (2010-)","233","Burkina Faso","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","10.87"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","1825"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","43.35"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","46"
"FBS","Bilans Alimentaires (2010-)","29","Burundi","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","3.07"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","2583"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","71.9"
"FBS","Bilans Alimentaires (2010-)","35","Cabo Verde","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","426"
